Strain,Age,RBC,One,Two,Three,Four,Five
Dd2,Positive,275,22,6,2,1,
Dd2,Positive,266,28,8,2,,
Dd2,Positive,287,24,5,1,0,1
Dd2,Very Young,262,32,16,1,2,
Dd2,Very Young,256,33,6,3,,
Dd2,Very Young,282,43,14,5,2,
Dd2,Young,254,42,8,3,,
Dd2,Young,279,29,8,4,,
Dd2,Young,253,30,8,8,1,
Dd2,Medium,355,39,8,,,
Dd2,Medium,252,30,8,2,,
Dd2,Medium,256,27,8,1,,
Dd2,Old,359,18,3,,,
Dd2,Old,268,14,,,,
Dd2,Old,260,16,4,,,
HB3,Positive,286,9,5,2,,
HB3,Positive,255,17,6,2,1,
HB3,Positive,254,30,6,2,2,
HB3,Very Young,250,21,11,5,,
HB3,Very Young,255,35,18,2,,
HB3,Very Young,260,25,17,6,,
HB3,Young,252,17,10,1,1,
HB3,Young,255,16,12,4,2,1
HB3,Young,253,26,7,2,,
HB3,Medium,251,17,5,,,
HB3,Medium,256,27,6,,,
HB3,Medium,275,22,7,,,
HB3,Old,294,6,5,,,
HB3,Old,257,8,1,,,
HB3,Old,270,17,1,1,,
3D7,Positive,251,21,15,2,1,
3D7,Positive,266,29,6,1,2,
3D7,Positive,251,27,9,3,2,
3D7,Very Young,253,36,20,3,,
3D7,Very Young,253,35,24,7,,
3D7,Very Young,253,42,13,4,1,
3D7,Young,254,36,9,3,0,1
3D7,Young,264,39,12,1,1,
3D7,Young,258,41,16,5,,
3D7,Medium,263,20,11,3,0,1
3D7,Medium,273,18,10,3,,
3D7,Medium,250,22,4,2,,
3D7,Old,252,9,2,1,,
3D7,Old,276,8,3,2,,
3D7,Old,285,8,9,1,1,
FCR3,Positive,269,21,14,1,,
FCR3,Positive,253,23,11,4,1,
FCR3,Positive,256,41,5,1,,
FCR3,Very Young,255,43,12,2,,
FCR3,Very Young,254,56,12,2,,
FCR3,Very Young,252,62,15,0,1,
FCR3,Young,254,26,3,,,
FCR3,Young,257,30,7,1,,
FCR3,Young,257,35,9,3,,
FCR3,Medium,284,26,7,0,2,
FCR3,Medium,263,23,6,,,
FCR3,Medium,275,38,7,2,,
FCR3,Old,254,13,3,,,
FCR3,Old,286,20,2,2,,
FCR3,Old,269,13,5,,,
EFcyc2,Positive,258,33,8,3,2,
EFcyc2,Positive,251,30,13,6,,
EFcyc2,Positive,254,26,19,2,,
EFcyc2,Very Young,254,64,24,9,1,
EFcyc2,Very Young,258,48,17,6,1,
EFcyc2,Very Young,253,35,17,8,,
EFcyc2,Young,276,41,19,3,2,
EFcyc2,Young,261,32,12,4,,
EFcyc2,Young,256,36,17,5,1,
EFcyc2,Medium,260,32,9,1,,
EFcyc2,Medium,252,27,4,2,,
EFcyc2,Medium,259,19,13,5,,
EFcyc2,Old,259,15,3,,,
EFcyc2,Old,253,12,2,1,,
EFcyc2,Old,250,5,5,1,,
C2,Positive,275,23,4,1,1,
C2,Positive,276,21,10,1,1,
C2,Positive,250,26,3,4,,
C2,Very Young,256,31,6,8,2,
C2,Very Young,256,63,14,3,,
C2,Very Young,256,34,13,2,,
C2,Young,264,35,8,4,,
C2,Young,324,43,17,1,2,
C2,Young,269,36,10,1,,
C2,Medium,251,12,3,,,
C2,Medium,262,24,3,1,,
C2,Medium,256,23,5,1,,
C2,Old,251,5,0,1,1,
C2,Old,263,10,6,,,
C2,Old,256,12,2,2,,
Dd2NM,Positive,270,24,4,3,,
Dd2NM,Positive,254,17,6,2,,
Dd2NM,Positive,252,25,9,1,,
Dd2NM,Very Young,260,21,6,3,1,
Dd2NM,Very Young,252,27,8,1,1,
Dd2NM,Very Young,259,22,13,2,,
Dd2NM,Young,259,24,9,4,4,
Dd2NM,Young,258,34,9,4,3,
Dd2NM,Young,252,30,11,2,,
Dd2NM,Medium,260,21,8,1,,
Dd2NM,Medium,258,23,8,,,
Dd2NM,Medium,250,40,9,1,,
Dd2NM,Old,261,16,1,0,1,
Dd2NM,Old,257,11,1,2,,
Dd2NM,Old,260,13,5,1,,
