Strain,Age,One,Two,Three,Four,Five,Parasites,RBC
T15,VY,32,13,2,1,0,68,752
,,26,8,1,3,0,57,755
,,30,7,2,1,0,54,816
,Y,30,6,2,0,0,48,750
,,41,5,2,0,0,57,752
,,33,2,1,0,0,40,760
,M,7,1,0,0,0,9,756
,,10,0,0,0,0,10,753
,,6,0,0,0,0,6,770
,O,7,0,0,0,0,7,758
,,6,0,0,0,0,6,800
,,2,0,0,0,0,2,800
T18,VY,23,3,0,0,0,29,763
,,26,2,0,0,0,30,751
,,20,6,0,0,0,32,755
,Y,22,0,0,0,0,22,760
,,15,3,1,0,0,24,756
,,25,4,1,0,0,36,876
,M,11,1,0,0,0,13,775
,,8,0,0,0,0,8,750
,,10,0,0,0,0,10,750
,O,1,0,0,0,0,1,783
,,1,0,0,0,0,1,750
,,2,0,0,0,0,2,761
P99,VY,64,42,9,0,0,186,757
,,94,32,9,0,0,166,760
,,70,36,12,0,0,168,750
,Y,80,34,11,0,0,181,757
,,75,25,17,3,0,188,754
,,100,30,7,1,0,185,762
,M,19,7,1,0,0,36,756
,,20,4,1,0,0,31,750
,,18,8,3,4,0,59,800
,O,19,7,1,0,0,36,774
,,24,4,2,0,0,38,759
,,18,8,3,0,0,43,848
P59,VY,103,25,11,0,0,186,752
,,87,21,7,4,0,166,798
,,100,22,8,0,0,168,815
,Y,97,20,6,0,0,155,761
,,82,30,6,0,0,160,842
,,88,32,0,0,0,152,890
,M,46,6,2,0,0,64,900
,,42,14,0,0,0,70,750
,,51,4,2,0,0,65,751
,O,36,9,1,0,0,57,750
,,30,6,2,0,0,48,752
,,45,12,0,0,0,69,761
P89,VY,66,33,22,0,0,198,755
,,64,30,17,0,0,175,790
,,61,26,34,0,0,215,848
,Y,33,21,14,2,0,125,755
,,50,20,10,0,0,120,762
,,42,26,10,1,0,128,751
,M,51,18,4,0,0,99,750
,,61,14,8,0,0,113,762
,,50,20,4,0,0,102,750
,O,24,12,3,0,0,57,757
,,31,6,1,0,0,46,791
,,28,10,0,0,0,48,750
P98,VY,77,22,3,1,0,134,755
,,69,22,8,0,0,137,756
,,70,16,5,1,0,121,750
,Y,68,15,4,0,0,110,784
,,75,15,4,0,0,117,800
,,72,16,6,0,0,122,800
,M,19,2,2,0,0,29,762
,,19,3,0,0,0,25,750
,,21,2,0,0,0,25,800
,O,7,2,0,1,0,15,750
,,6,0,0,0,0,6,800
,,6,0,1,0,0,9,765
P110,VY,112,42,10,1,0,230,750
,,93,35,26,1,0,245,792
,,121,44,16,0,0,257,754
,Y,68,51,18,0,0,224,801
,,81,51,23,0,0,252,755
,,102,62,20,0,0,286,900
,M,40,13,2,0,0,72,761
,,31,12,1,0,0,58,807
,,25,8,8,0,0,65,750
,O,17,7,0,0,0,31,761
,,16,6,4,0,0,40,807
,,20,7,0,0,0,34,750
P102,VY,85,22,9,0,0,156,756
,,89,30,6,0,0,167,754
,,95,35,8,0,0,189,792
,Y,55,17,7,0,0,110,829
,,50,20,0,0,0,90,750
,,53,15,6,0,0,101,751
,M,30,14,0,0,0,58,755
,,31,6,4,0,0,55,762
,,32,6,0,0,0,44,755
,O,12,6,0,0,0,24,750
,,11,4,1,0,0,22,752
,,17,5,0,0,0,27,761
P51,VY,60,17,11,1,0,131,764
,,68,17,14,0,0,144,758
,,62,12,12,0,0,122,750
,Y,56,22,9,0,0,127,761
,,57,24,3,0,0,114,770
,,60,22,8,0,0,128,751
,M,38,11,2,0,0,66,755
,,44,10,4,0,0,76,750
,,39,9,2,0,0,63,750
,O,46,8,6,0,0,80,763
,,45,10,1,0,0,68,752
,,51,11,2,1,0,83,750
P52,VY,40,14,0,0,0,68,773
,,55,11,0,0,0,77,772
,,52,9,0,0,0,70,800
,Y,35,2,1,0,0,42,775
,,27,9,1,0,0,48,752
,,35,2,3,0,0,48,852
,M,18,5,0,0,0,28,750
,,18,4,0,0,0,26,860
,,28,1,0,0,0,30,771
,O,13,2,0,0,0,17,757
,,23,3,0,0,0,29,835
,,17,2,0,0,0,21,750
P106,VY,82,41,26,2,0,250,750
,,75,56,27,0,0,268,765
,,104,43,11,0,0,223,764
,Y,91,38,5,0,0,182,762
,,92,34,11,1,0,197,756
,,82,32,15,1,0,195,750
,M,40,16,11,0,0,105,840
,,45,11,3,0,0,76,793
,,52,16,1,0,0,87,750
,O,14,3,0,0,0,20,755
,,9,6,0,0,0,21,766
,,16,2,1,0,0,23,750
T28,VY,37,11,4,1,0,75,752
,,35,12,6,0,0,77,840
,,34,18,4,0,0,82,750
,Y,49,10,3,0,0,78,754
,,42,12,0,0,0,66,750
,,50,8,2,0,0,72,750
,M,21,5,3,0,0,40,757
,,18,3,0,0,0,24,779
,,20,2,0,0,0,24,800
,O,11,4,1,0,0,22,765
,,11,2,1,0,0,18,769
,,12,2,0,0,0,16,750
P53,VY,27,8,6,1,0,65,753
,,37,11,3,0,0,68,750
,,36,4,2,0,0,50,751
,Y,19,3,0,0,0,25,758
,,16,5,1,0,0,29,750
,,26,2,2,0,0,36,750
,M,13,6,0,0,0,25,752
,,12,4,1,0,0,23,752
,,16,0,1,0,0,19,750
,O,14,1,1,0,0,19,760
,,8,2,0,0,0,12,789
,,10,4,2,0,0,24,750
P108,VY,57,32,17,2,0,180,999
,,71,31,7,0,0,154,898
,,52,30,5,1,0,131,800
,Y,36,24,9,0,0,111,795
,,41,25,9,0,0,118,768
,,40,24,14,0,0,130,750
,M,27,4,5,0,0,50,760
,,26,9,4,0,0,56,766
,,25,4,5,0,0,48,750
,O,7,2,4,0,0,23,757
,,5,5,2,0,0,21,756
,,8,0,0,1,0,12,750
P107,VY,106,43,22,0,0,258,757
,,93,44,17,0,0,232,765
,,100,38,21,0,0,239,750
,Y,49,34,10,0,0,147,762
,,58,28,15,0,0,159,751
,,52,29,8,0,0,134,750
,M,24,9,2,0,0,48,783
,,24,5,6,0,0,52,751
,,22,8,0,0,0,38,800
,O,10,2,1,0,0,17,774
,,7,2,0,0,0,11,750
,,11,4,0,0,0,19,752
P54,VY,44,18,7,0,0,101,760
,,47,15,2,0,0,83,754
,,44,14,2,0,0,78,760
,Y,29,4,0,0,0,37,759
,,32,6,0,0,0,44,793
,,32,2,0,0,0,36,750
,M,9,1,0,0,0,11,773
,,13,2,0,0,0,17,751
,,10,6,0,0,0,22,750
,O,8,1,0,0,0,10,777
,,7,2,0,0,0,11,750
,,8,0,0,0,0,8,820
T25,VY,14,3,2,0,0,26,757
,,18,2,2,0,0,28,780
,,13,4,1,0,0,24,750
,Y,0,0,0,0,0,0,750
,,1,0,0,0,0,1,749
,,0,0,0,0,0,0,750
,M,0,0,0,0,0,0,750
,,0,0,0,0,0,0,750
,,0,0,0,0,0,0,750
,O,0,0,0,0,0,0,750
,,0,0,0,0,0,0,750
,,0,0,0,0,0,0,750
T26,VY,16,0,0,0,0,16,796
,,6,10,0,0,0,26,752
,,9,0,0,0,0,9,761
,Y,6,1,0,0,0,8,734
,,5,0,0,0,0,5,761
,,3,0,0,0,0,3,750
,M,0,0,0,0,0,0,753
,,0,0,0,0,0,0,780
,,0,0,0,0,0,0,750
,O,0,0,0,0,0,0,750
,,0,0,0,0,0,0,750
,,0,0,0,0,0,0,750
P46,VY,35,10,0,0,0,55,755
,,50,8,2,0,0,72,1016
,,34,10,0,0,0,54,747
,Y,21,4,0,0,0,29,750
,,22,3,0,0,0,28,762
,,22,2,0,0,0,26,750
,M,10,4,4,0,0,30,899
,,5,5,2,0,0,21,763
,,2,2,4,0,0,18,750
,O,1,0,0,0,0,1,750
,,1,0,0,0,0,1,756
,,2,0,0,0,0,2,750
T22,VY,18,5,0,0,0,28,640
,,22,16,0,0,0,54,753
,,24,10,0,0,0,44,780
,Y,14,6,0,0,0,26,750
,,10,3,0,0,0,16,761
,,16,1,0,0,0,18,750
,M,18,4,0,0,0,26,755
,,24,2,0,0,0,28,767
,,20,1,0,0,0,22,750
,O,6,2,0,0,0,10,800
,,4,2,0,0,0,8,771
,,9,0,0,0,0,9,750
